id,bool_card2,sex_card2,mktsegment_card5,prioridade_prefixo,education_card16,uf_card27,pais_pareto
774,False,M,BUILDING,5-LOW,Some-college,RJ,Brasil
775,True,M,AUTOMOBILE,1-URGENT,1st-4th,BA,Brasil
776,True,F,HOUSEHOLD,5-LOW,9th,RJ,Brasil
777,True,M,BUILDING,2-HIGH,1st-4th,ES,Brasil
778,False,M,MACHINERY,5-LOW,5th-6th,ES,Brasil
779,True,F,FURNITURE,1-URGENT,Some-college,ES,Brasil
780,True,M,FURNITURE,1-URGENT,Masters,PB,Brasil
781,False,M,AUTOMOBILE,5-LOW,Assoc-voc,RR,Brasil
782,True,F,BUILDING,5-LOW,Prof-school,SE,Brasil
783,False,M,AUTOMOBILE,2-HIGH,7th-8th,RO,Brasil
784,True,F,MACHINERY,3-MEDIUM,12th,AM,Brasil
785,False,F,FURNITURE,2-HIGH,Assoc-acdm,MA,Portugal
786,False,F,HOUSEHOLD,4-NOT SPECIFIED,7th-8th,SP,Estados Unidos
787,True,F,FURNITURE,1-URGENT,Doctorate,GO,Brasil
788,False,M,AUTOMOBILE,3-MEDIUM,Bachelors,RN,Brasil
789,False,M,BUILDING,1-URGENT,Preschool,AM,Brasil
790,True,F,MACHINERY,5-LOW,Assoc-voc,CE,Brasil
791,False,M,FURNITURE,4-NOT SPECIFIED,Assoc-acdm,PB,Brasil
792,False,F,AUTOMOBILE,4-NOT SPECIFIED,Masters,AP,Brasil
793,False,M,FURNITURE,4-NOT SPECIFIED,Some-college,RN,Brasil
794,False,F,HOUSEHOLD,4-NOT SPECIFIED,Masters,RN,Brasil
795,True,F,BUILDING,3-MEDIUM,HS-grad,DF,Brasil
796,True,F,FURNITURE,2-HIGH,Doctorate,RJ,Brasil
797,False,F,FURNITURE,5-LOW,Some-college,CE,Brasil
798,False,F,AUTOMOBILE,2-HIGH,12th,MG,Brasil
799,True,F,MACHINERY,1-URGENT,7th-8th,RO,Brasil
800,True,M,HOUSEHOLD,5-LOW,Assoc-acdm,MS,Brasil
801,True,M,AUTOMOBILE,1-URGENT,9th,RN,Brasil
802,False,M,BUILDING,4-NOT SPECIFIED,5th-6th,AM,Brasil
803,True,F,MACHINERY,5-LOW,Bachelors,RN,Brasil
804,True,F,FURNITURE,4-NOT SPECIFIED,Doctorate,MT,Brasil
805,True,M,MACHINERY,2-HIGH,Some-college,RS,Estados Unidos
806,True,M,FURNITURE,2-HIGH,10th,SP,Brasil
807,True,F,HOUSEHOLD,4-NOT SPECIFIED,Bachelors,DF,Brasil
808,True,M,FURNITURE,5-LOW,9th,AC,Brasil
809,True,M,HOUSEHOLD,5-LOW,HS-grad,PE,Brasil
810,True,F,AUTOMOBILE,5-LOW,9th,RJ,Brasil
811,True,M,HOUSEHOLD,3-MEDIUM,Prof-school,RS,Brasil
812,False,F,AUTOMOBILE,4-NOT SPECIFIED,Masters,DF,Brasil
813,True,M,AUTOMOBILE,5-LOW,Preschool,AC,Estados Unidos
814,True,M,AUTOMOBILE,5-LOW,10th,DF,Brasil
815,False,M,BUILDING,3-MEDIUM,Prof-school,AM,Brasil
816,False,M,FURNITURE,3-MEDIUM,HS-grad,TO,Brasil
817,False,M,FURNITURE,3-MEDIUM,Assoc-voc,PR,Brasil
818,False,M,BUILDING,4-NOT SPECIFIED,Assoc-voc,PA,Brasil
819,True,F,MACHINERY,5-LOW,12th,MT,Brasil
820,True,M,AUTOMOBILE,5-LOW,Assoc-acdm,PR,Brasil
821,True,F,AUTOMOBILE,5-LOW,11th,DF,Brasil
822,True,M,MACHINERY,2-HIGH,Bachelors,RN,Brasil
823,False,F,MACHINERY,4-NOT SPECIFIED,9th,PR,Japao
824,True,M,AUTOMOBILE,2-HIGH,Bachelors,RN,Brasil
825,False,M,FURNITURE,2-HIGH,Assoc-voc,SE,Brasil
826,False,M,HOUSEHOLD,2-HIGH,1st-4th,AL,Brasil
827,False,M,HOUSEHOLD,4-NOT SPECIFIED,1st-4th,PR,Brasil
828,True,M,BUILDING,4-NOT SPECIFIED,Bachelors,PE,Brasil
829,True,M,AUTOMOBILE,1-URGENT,11th,MT,Brasil
830,False,F,HOUSEHOLD,2-HIGH,5th-6th,MA,Japao
831,True,F,MACHINERY,4-NOT SPECIFIED,HS-grad,RO,Brasil
832,False,F,BUILDING,2-HIGH,7th-8th,PB,Brasil
833,False,M,AUTOMOBILE,3-MEDIUM,Preschool,MA,Brasil
834,False,F,AUTOMOBILE,4-NOT SPECIFIED,10th,AP,Brasil
835,True,F,HOUSEHOLD,1-URGENT,Masters,SC,Japao
836,True,F,HOUSEHOLD,3-MEDIUM,Preschool,SP,Brasil
837,False,M,HOUSEHOLD,1-URGENT,9th,DF,Brasil
838,True,M,BUILDING,1-URGENT,Preschool,TO,Brasil
839,True,F,FURNITURE,5-LOW,11th,MA,Brasil
840,False,M,AUTOMOBILE,3-MEDIUM,Doctorate,SC,Brasil
841,True,M,HOUSEHOLD,3-MEDIUM,10th,PB,Portugal
842,False,F,AUTOMOBILE,1-URGENT,Doctorate,BA,Brasil
843,False,M,HOUSEHOLD,4-NOT SPECIFIED,1st-4th,AC,Brasil
844,False,M,AUTOMOBILE,5-LOW,1st-4th,MT,Brasil
845,False,M,FURNITURE,5-LOW,Bachelors,CE,Brasil
846,False,M,BUILDING,2-HIGH,Doctorate,RJ,Brasil
847,False,M,AUTOMOBILE,1-URGENT,10th,DF,Brasil
848,True,M,HOUSEHOLD,2-HIGH,11th,SE,Brasil
849,True,F,FURNITURE,3-MEDIUM,HS-grad,MG,Portugal
850,False,F,MACHINERY,4-NOT SPECIFIED,Some-college,RN,Brasil
851,True,F,HOUSEHOLD,2-HIGH,Masters,AL,Brasil
852,False,F,FURNITURE,2-HIGH,Assoc-acdm,AP,Brasil
853,True,M,HOUSEHOLD,5-LOW,10th,PA,Brasil
854,False,F,FURNITURE,5-LOW,Prof-school,PR,Brasil
855,False,F,HOUSEHOLD,2-HIGH,Assoc-voc,AL,Brasil
856,True,M,BUILDING,1-URGENT,Preschool,TO,Brasil
857,True,F,HOUSEHOLD,1-URGENT,12th,AM,Brasil
858,True,M,AUTOMOBILE,3-MEDIUM,9th,PI,Brasil
859,False,F,FURNITURE,5-LOW,12th,RN,Brasil
860,True,F,MACHINERY,4-NOT SPECIFIED,Bachelors,ES,Brasil
861,True,F,MACHINERY,4-NOT SPECIFIED,1st-4th,PI,Brasil
862,True,F,AUTOMOBILE,4-NOT SPECIFIED,12th,MT,Brasil
863,True,F,FURNITURE,3-MEDIUM,Bachelors,BA,Brasil
864,False,F,BUILDING,2-HIGH,9th,ES,Brasil
865,False,F,FURNITURE,2-HIGH,7th-8th,SC,Brasil
866,True,F,MACHINERY,1-URGENT,9th,PA,Brasil
867,False,M,MACHINERY,4-NOT SPECIFIED,10th,BA,Brasil
868,False,M,BUILDING,3-MEDIUM,HS-grad,RN,Brasil
869,True,F,FURNITURE,1-URGENT,1st-4th,RO,Brasil
870,True,F,HOUSEHOLD,5-LOW,10th,RN,Brasil
871,True,M,FURNITURE,2-HIGH,Assoc-acdm,PB,Brasil
872,False,F,FURNITURE,1-URGENT,Bachelors,GO,Brasil
873,True,F,HOUSEHOLD,1-URGENT,Masters,RO,Portugal
874,False,M,FURNITURE,3-MEDIUM,Assoc-acdm,DF,Brasil
875,True,F,MACHINERY,5-LOW,12th,RN,Brasil
876,True,F,AUTOMOBILE,2-HIGH,9th,RS,Brasil
877,True,M,FURNITURE,3-MEDIUM,12th,PE,Brasil
878,False,M,AUTOMOBILE,1-URGENT,10th,AP,Brasil
879,False,M,AUTOMOBILE,1-URGENT,1st-4th,SE,Brasil
880,True,F,BUILDING,1-URGENT,5th-6th,MA,Brasil
881,False,F,MACHINERY,3-MEDIUM,Assoc-acdm,AL,Mexico
882,True,F,FURNITURE,2-HIGH,Some-college,ES,Brasil
883,False,M,HOUSEHOLD,3-MEDIUM,Preschool,MS,Brasil
884,True,M,FURNITURE,3-MEDIUM,Prof-school,MA,Brasil
885,False,F,HOUSEHOLD,4-NOT SPECIFIED,Bachelors,MG,Brasil
886,True,F,HOUSEHOLD,4-NOT SPECIFIED,11th,GO,Portugal
887,False,M,FURNITURE,1-URGENT,7th-8th,ES,Estados Unidos
888,True,F,FURNITURE,1-URGENT,10th,AC,Brasil
889,False,F,AUTOMOBILE,5-LOW,Assoc-voc,AC,Brasil
890,False,F,BUILDING,3-MEDIUM,Assoc-acdm,ES,Brasil
891,False,F,FURNITURE,3-MEDIUM,Assoc-voc,SC,Brasil
892,True,F,BUILDING,5-LOW,Preschool,DF,Brasil
893,True,F,AUTOMOBILE,3-MEDIUM,7th-8th,MG,Brasil
894,True,F,MACHINERY,4-NOT SPECIFIED,HS-grad,MG,Brasil
895,True,M,AUTOMOBILE,2-HIGH,Preschool,AC,Brasil
896,False,F,AUTOMOBILE,2-HIGH,12th,GO,Brasil
897,False,F,MACHINERY,1-URGENT,Bachelors,AP,Brasil
898,False,M,MACHINERY,1-URGENT,Prof-school,AC,Brasil
899,True,F,BUILDING,3-MEDIUM,Bachelors,CE,Brasil
900,False,F,HOUSEHOLD,4-NOT SPECIFIED,7th-8th,PA,Brasil
901,True,M,HOUSEHOLD,2-HIGH,Assoc-acdm,AC,Brasil
902,False,F,AUTOMOBILE,3-MEDIUM,Doctorate,PR,Brasil
903,True,M,AUTOMOBILE,4-NOT SPECIFIED,5th-6th,PR,Brasil
904,True,F,HOUSEHOLD,5-LOW,5th-6th,AP,Brasil
905,False,F,FURNITURE,4-NOT SPECIFIED,7th-8th,AM,Brasil
906,True,F,FURNITURE,1-URGENT,1st-4th,PB,Brasil
907,False,F,FURNITURE,5-LOW,Prof-school,RJ,Brasil
908,False,F,BUILDING,5-LOW,1st-4th,AL,Brasil
909,True,F,HOUSEHOLD,5-LOW,Some-college,RO,Brasil
910,True,M,HOUSEHOLD,1-URGENT,10th,AP,Brasil
911,False,M,HOUSEHOLD,4-NOT SPECIFIED,1st-4th,RR,Estados Unidos
912,False,F,MACHINERY,3-MEDIUM,10th,SC,Brasil
913,False,F,BUILDING,4-NOT SPECIFIED,11th,RR,Brasil
914,False,M,MACHINERY,4-NOT SPECIFIED,Some-college,PR,Brasil
915,True,F,MACHINERY,2-HIGH,9th,PE,Brasil
916,True,M,FURNITURE,2-HIGH,Doctorate,SE,Brasil
917,False,M,MACHINERY,2-HIGH,1st-4th,SC,Brasil
918,True,F,BUILDING,2-HIGH,Doctorate,ES,Brasil
919,False,F,AUTOMOBILE,4-NOT SPECIFIED,11th,BA,Brasil
920,False,M,MACHINERY,1-URGENT,HS-grad,SC,Brasil
921,False,F,MACHINERY,4-NOT SPECIFIED,Assoc-voc,MA,Brasil
922,False,F,MACHINERY,2-HIGH,5th-6th,SP,Brasil
923,False,F,MACHINERY,5-LOW,HS-grad,RS,Brasil
924,False,F,FURNITURE,3-MEDIUM,12th,PE,Brasil
925,True,F,FURNITURE,4-NOT SPECIFIED,Preschool,RN,Brasil
926,True,M,FURNITURE,3-MEDIUM,11th,DF,Brasil
927,True,M,BUILDING,1-URGENT,5th-6th,RS,Brasil
928,True,F,MACHINERY,2-HIGH,10th,PE,Brasil
929,True,M,FURNITURE,1-URGENT,HS-grad,AP,Brasil
930,True,M,BUILDING,1-URGENT,Doctorate,MA,Brasil
931,True,M,AUTOMOBILE,3-MEDIUM,10th,MT,Brasil
932,True,F,MACHINERY,4-NOT SPECIFIED,12th,PE,Brasil
933,True,F,BUILDING,4-NOT SPECIFIED,7th-8th,DF,Brasil
934,False,F,AUTOMOBILE,4-NOT SPECIFIED,Some-college,MS,Brasil
935,False,M,HOUSEHOLD,1-URGENT,Doctorate,AC,Portugal
936,False,M,FURNITURE,1-URGENT,Preschool,AL,Brasil
937,True,M,BUILDING,1-URGENT,9th,RN,Brasil
938,True,F,AUTOMOBILE,1-URGENT,HS-grad,SE,Brasil
939,False,M,MACHINERY,4-NOT SPECIFIED,Bachelors,RO,Estados Unidos
940,False,F,HOUSEHOLD,4-NOT SPECIFIED,Some-college,AC,Brasil
941,True,F,HOUSEHOLD,1-URGENT,Prof-school,DF,Brasil
942,False,F,BUILDING,1-URGENT,Prof-school,AC,Brasil
943,True,F,MACHINERY,2-HIGH,11th,AC,Brasil
944,False,M,MACHINERY,4-NOT SPECIFIED,Masters,TO,Brasil
945,False,F,BUILDING,4-NOT SPECIFIED,Assoc-acdm,PR,Brasil
946,True,M,FURNITURE,2-HIGH,1st-4th,MA,Brasil
947,False,F,FURNITURE,4-NOT SPECIFIED,Bachelors,RJ,Brasil
948,True,F,BUILDING,4-NOT SPECIFIED,Masters,BA,Brasil
949,False,M,FURNITURE,2-HIGH,Some-college,RJ,Estados Unidos
950,True,F,BUILDING,4-NOT SPECIFIED,HS-grad,CE,Brasil
951,True,M,AUTOMOBILE,1-URGENT,10th,ES,Brasil
952,False,M,FURNITURE,1-URGENT,Masters,RS,Brasil
953,True,M,AUTOMOBILE,4-NOT SPECIFIED,12th,PI,Estados Unidos
954,False,F,BUILDING,5-LOW,Doctorate,DF,Brasil
955,True,M,MACHINERY,1-URGENT,Masters,PE,Brasil
956,False,M,MACHINERY,5-LOW,11th,MT,Brasil
957,True,M,BUILDING,5-LOW,7th-8th,RN,Brasil
958,True,F,BUILDING,1-URGENT,Bachelors,SC,Brasil
959,False,F,HOUSEHOLD,2-HIGH,Assoc-acdm,PR,Brasil
960,False,F,HOUSEHOLD,2-HIGH,11th,AP,Brasil
961,True,M,HOUSEHOLD,5-LOW,Some-college,TO,Brasil
962,False,F,BUILDING,5-LOW,Assoc-voc,BA,Brasil
963,True,F,FURNITURE,5-LOW,Assoc-voc,MT,Portugal
964,True,F,BUILDING,2-HIGH,Masters,PI,Brasil
965,False,F,AUTOMOBILE,2-HIGH,HS-grad,RJ,Brasil
966,False,F,AUTOMOBILE,4-NOT SPECIFIED,9th,DF,Brasil
967,False,M,BUILDING,1-URGENT,11th,SC,Brasil
968,False,M,BUILDING,2-HIGH,Preschool,RR,Brasil
969,False,F,AUTOMOBILE,3-MEDIUM,Assoc-voc,RN,Brasil
970,False,M,BUILDING,2-HIGH,5th-6th,BA,Brasil
971,True,M,HOUSEHOLD,5-LOW,1st-4th,RJ,Brasil
972,True,M,FURNITURE,4-NOT SPECIFIED,11th,MA,Brasil
973,True,F,AUTOMOBILE,3-MEDIUM,9th,BA,Brasil
974,True,M,FURNITURE,1-URGENT,9th,PR,Brasil
975,False,F,HOUSEHOLD,2-HIGH,12th,CE,Brasil
976,True,M,FURNITURE,5-LOW,Assoc-voc,MG,Brasil
977,False,M,FURNITURE,4-NOT SPECIFIED,Preschool,PE,Brasil
978,False,M,AUTOMOBILE,3-MEDIUM,5th-6th,RR,Brasil
979,True,M,HOUSEHOLD,1-URGENT,HS-grad,MS,Estados Unidos
980,True,F,FURNITURE,4-NOT SPECIFIED,1st-4th,PI,Brasil
981,True,F,HOUSEHOLD,2-HIGH,Some-college,AC,Argentina
982,True,F,AUTOMOBILE,2-HIGH,Prof-school,GO,Brasil
983,True,M,HOUSEHOLD,3-MEDIUM,11th,AL,Brasil
984,True,F,HOUSEHOLD,2-HIGH,7th-8th,SC,Brasil
985,False,M,BUILDING,4-NOT SPECIFIED,12th,RO,Brasil
986,False,F,MACHINERY,5-LOW,Assoc-acdm,PI,Brasil
987,True,F,BUILDING,5-LOW,Prof-school,RJ,Brasil
988,False,F,HOUSEHOLD,5-LOW,HS-grad,AM,Brasil
989,True,M,FURNITURE,2-HIGH,Doctorate,DF,Brasil
990,True,F,FURNITURE,2-HIGH,Assoc-voc,DF,Brasil
991,False,F,MACHINERY,1-URGENT,Some-college,AM,Brasil
992,False,F,FURNITURE,5-LOW,Masters,MS,Estados Unidos
993,False,F,FURNITURE,3-MEDIUM,Some-college,BA,Brasil
994,True,M,HOUSEHOLD,2-HIGH,10th,MG,Brasil
995,True,F,BUILDING,2-HIGH,1st-4th,PR,Brasil
996,True,F,HOUSEHOLD,5-LOW,Doctorate,MS,Brasil
997,False,F,BUILDING,3-MEDIUM,Assoc-acdm,MG,Brasil
998,True,F,HOUSEHOLD,5-LOW,12th,TO,Brasil
999,False,F,FURNITURE,5-LOW,Preschool,MT,Brasil
1000,True,F,AUTOMOBILE,3-MEDIUM,Assoc-voc,MS,Brasil
